"","y","x1","x2","x3","x4","x5","x6"
"318",1,0,4866,39,588,738,72
"319",0,0,7540,47,134,737,10
"320",0,1,7096,49,203,583,66
"321",0,0,2121,61,161,530,6
"322",0,1,8065,19,407,810,20
"323",1,1,7369,47,337,645,22
"324",0,0,3606,23,812,733,1
"325",0,0,5648,72,682,839,32
"326",0,1,1825,23,311,713,3
"327",1,1,1140,40,634,648,41
"328",0,1,7078,34,780,691,42
"329",1,1,6402,20,190,649,27
"330",1,0,6750,60,720,810,80
"331",1,0,5771,63,422,717,83
"332",0,1,3687,69,715,818,82
"333",1,1,8031,73,341,578,14
"334",1,1,2677,73,372,555,73
"335",0,0,6839,19,572,658,88
"336",0,1,7152,64,847,759,79
"337",0,1,3287,35,708,791,2
"338",0,0,1063,30,378,839,35
"339",1,1,6847,34,678,546,34
"340",0,0,2466,69,804,609,54
"341",0,1,1748,20,629,731,13
"342",1,1,1934,44,511,731,80
"343",1,1,5883,20,458,547,20
"344",0,1,7438,37,307,544,11
"345",1,1,3702,75,147,772,15
"346",0,0,8088,22,777,669,34
"347",0,0,2985,32,373,680,90
"348",1,1,7266,74,766,761,50
"349",0,1,7867,48,356,833,70
"350",0,0,6692,72,809,686,9
"351",1,0,3013,39,630,749,8
"352",0,1,6325,75,269,775,89
"353",0,0,5887,23,667,564,55
"354",1,1,4393,71,435,799,80
"355",1,0,8107,69,839,825,43
"356",0,1,2290,22,375,543,37
"357",1,0,5811,47,551,609,53
"358",1,1,3982,59,687,616,86
"359",1,0,7282,48,585,678,13
"360",0,0,2838,32,412,602,71
"361",1,0,8345,43,274,553,20
"362",1,1,1121,41,100,665,19
"363",1,0,1984,61,632,806,20
"364",0,1,1101,52,403,537,25
"365",1,1,4862,76,314,681,73
"366",1,0,1964,77,717,704,69
"367",0,1,7815,61,252,511,52
"368",1,1,7685,80,450,650,95
"369",0,0,6415,19,438,589,78
"370",0,0,7515,36,831,836,76
"371",1,0,1819,69,277,694,4
"372",0,0,3169,26,714,787,39
"373",0,1,4176,60,220,679,38
"374",1,1,4572,21,291,515,90
"375",0,0,7226,55,368,705,50
"376",1,1,6715,70,199,563,72
"377",1,1,7650,65,763,792,9
"378",1,0,3376,47,709,817,6
"379",0,0,6083,45,277,786,67
"380",1,0,5549,79,263,703,97
"381",1,1,8269,77,801,547,51
"382",0,1,7278,64,370,638,97
"383",0,0,1791,18,532,590,57
"384",1,0,4136,65,687,516,60
"385",0,0,5523,24,814,598,45
"386",1,1,5515,71,421,584,61
"387",0,1,2937,36,406,548,8
"388",0,0,3028,36,525,614,69
"389",1,0,1243,72,531,831,87
"390",1,1,4714,72,475,783,93
"391",0,0,1899,23,156,684,15
"392",0,0,1681,21,652,669,39
"393",0,1,3553,41,117,644,3
"394",0,1,1663,21,276,815,32
"395",1,0,5317,51,135,634,63
"396",1,0,7553,66,782,674,94
"397",0,0,7542,51,248,633,21
"398",0,0,4025,42,195,686,58
"399",0,0,2001,47,808,598,15
"400",0,1,3876,18,780,717,49
"401",0,0,2138,72,789,774,32
"402",0,0,4119,29,497,720,40
"403",0,0,5195,61,175,723,71
"404",1,1,1075,65,734,769,63
"405",1,0,3893,48,254,814,15
"406",1,1,1881,53,573,667,95
"407",1,1,7462,41,720,522,44
"408",0,0,5708,53,663,785,38
"409",0,0,7339,62,424,513,31
"410",1,0,1633,49,317,580,61
"411",0,0,7082,20,515,837,11
"412",0,0,7631,62,296,522,32
"413",1,1,6245,38,847,503,80
"414",0,0,7138,68,147,758,58
"415",1,1,1894,76,823,755,23
"416",0,1,4327,19,660,535,66
"417",0,1,4958,18,594,556,41
"418",1,0,8486,20,679,598,1
"419",1,0,4940,72,665,529,51
"420",0,0,2973,32,163,575,98
"421",0,1,7154,22,198,579,43
"422",0,1,6724,32,609,520,58
"423",0,1,1878,48,760,698,34
"424",1,0,4800,57,687,736,97
"425",1,0,6043,52,210,712,43
"426",0,0,6442,54,220,511,28
"427",0,0,4372,23,116,554,59
"428",1,1,4308,53,513,573,17
"429",0,0,7198,23,470,600,70
"430",0,0,4801,30,524,726,58
"431",0,0,8091,53,634,539,45
"432",0,0,5221,26,588,512,60
"433",0,0,2947,56,325,654,14
"434",1,1,7186,55,316,560,21
"435",1,0,8247,67,150,533,35
"436",1,1,2895,49,684,523,51
"437",1,1,2542,70,652,551,30
"438",0,1,4576,22,786,678,17
"439",0,1,4825,34,799,584,75
"440",1,1,3686,79,330,715,26
"441",1,1,7678,43,164,701,49
"442",1,1,5580,30,703,529,83
"443",1,1,7560,66,696,513,28
"444",0,0,4418,21,595,509,50
"445",1,1,8489,49,758,844,25
"446",1,0,8329,53,430,583,18
"447",0,1,6173,37,197,517,42
"448",1,0,2240,74,630,690,28
"449",1,0,3505,32,539,734,14
"450",0,1,4007,26,400,836,33
"451",1,1,1368,79,489,819,3
"452",0,0,7419,39,566,723,29
"453",1,0,4803,55,515,681,62
"454",0,1,8262,30,784,704,65
"455",0,1,3782,37,377,551,64
"456",1,1,6526,64,796,686,7
"457",1,0,5501,47,117,505,52
"458",0,0,6965,60,529,536,84
"459",1,0,7626,59,705,723,14
"460",0,0,3694,79,520,769,68
"461",0,1,2675,70,515,717,49
"462",0,1,6194,35,413,746,35
"463",1,0,6185,31,199,755,97
"464",1,1,5679,24,416,633,58
"465",0,0,3641,29,149,700,59
"466",0,1,4883,19,305,765,38
"467",1,0,6349,48,130,782,74
"468",0,1,6795,41,261,516,28
"469",1,1,5714,38,560,697,76
"470",1,0,8057,57,160,506,93
"471",1,1,5941,65,120,782,71
"472",1,0,6826,59,568,636,63
"473",0,1,2735,64,270,730,50
"474",0,1,7350,79,678,769,3
"475",0,0,2425,76,146,709,11
"476",0,0,6726,46,306,624,77
"477",1,0,5225,68,525,634,63
"478",1,0,3299,53,779,743,18
"479",1,0,6254,24,361,699,30
"480",1,0,3185,52,788,638,32
"481",1,1,3599,38,604,604,68
"482",1,0,1400,71,682,736,12
"483",0,0,7351,50,679,779,95
"484",0,0,1984,32,787,758,15
"485",0,0,2284,22,285,541,27
"486",1,1,3847,57,747,690,58
"487",0,1,3315,45,269,813,11
"488",1,0,2950,31,278,509,65
"489",0,0,4077,33,442,785,14
"490",1,1,4036,59,576,546,78
"491",0,0,1341,55,119,761,84
"492",0,1,3715,55,451,783,100
"493",1,0,7269,71,188,585,6
"494",1,1,5109,73,443,722,46
"495",1,1,2275,42,443,759,25
"496",0,0,4304,44,352,604,3
"497",0,0,2809,30,322,743,71
"498",1,0,7533,64,393,515,38
"499",1,1,3974,55,433,811,27
"500",1,1,4001,77,283,828,77
"501",1,0,2019,61,510,783,88
"502",1,0,7349,59,436,692,44
"503",0,0,3981,53,492,582,87
"504",0,0,3891,46,415,615,21
"505",0,0,6878,57,642,613,19
"506",0,0,1320,52,311,631,16
"507",1,0,1921,57,324,663,69
"508",0,0,4641,31,174,673,93
"509",1,1,2195,70,523,712,91
"510",0,0,6101,50,768,823,24
"511",0,0,2666,29,345,655,57
"512",1,0,1570,68,766,627,30
"513",1,0,2982,71,311,790,69
"514",0,0,3217,60,714,503,63
"515",0,0,2988,77,215,690,78
"516",1,1,1015,32,358,550,5
"517",0,0,3283,71,182,598,78
"518",1,1,5297,40,151,565,3
"519",1,1,6677,63,590,593,47
"520",0,1,7066,56,145,744,82
"521",1,0,1637,56,182,661,99
"522",1,1,4960,22,128,585,17
"523",1,0,7581,48,324,539,24
"524",1,0,4595,26,534,658,2
"525",1,1,8006,76,602,759,56
"526",0,1,5713,41,245,577,44
"527",1,0,5237,32,242,702,72
"528",0,1,6142,43,593,627,36
"529",0,0,5276,62,729,672,25
"530",0,1,3208,20,763,846,94
"531",1,1,5584,62,721,838,49
"532",1,1,5958,48,542,800,72
"533",1,1,3597,42,838,529,40
"534",1,0,2032,44,568,803,9
"535",1,0,5525,27,534,578,44
"536",0,0,5093,53,297,517,41
"537",1,0,1657,78,847,660,37
"538",1,1,8108,58,273,728,43
"539",0,0,6577,44,142,501,21
"540",1,0,1716,52,265,652,17
"541",1,1,4864,34,832,679,65
"542",0,1,1361,19,127,640,64
"543",0,1,8005,22,278,834,37
"544",0,0,8136,61,806,827,60
"545",1,0,1532,79,334,672,34
"546",1,1,3735,37,138,800,71
"547",1,1,5878,41,493,759,63
"548",1,0,2695,51,714,774,94
"549",1,0,4668,66,528,591,83
"550",1,1,5661,25,461,617,82
"551",0,1,6234,30,185,688,33
"552",1,1,4919,35,139,531,5
"553",0,1,3986,64,214,832,4
"554",0,0,7267,60,375,759,63
"555",1,1,1112,32,212,591,29
"556",0,1,2079,22,475,600,17
"557",0,1,8261,29,196,675,2
"558",0,0,3616,20,489,720,65
"559",0,1,8162,34,696,833,30
"560",0,0,3236,26,402,743,11
"561",1,0,1996,57,719,786,84
"562",0,1,5662,56,532,653,95
"563",0,0,3397,21,168,712,51
"564",1,1,8283,58,350,773,20
"565",1,0,2885,36,383,527,12
"566",1,1,4819,69,568,638,82
"567",1,0,3678,59,597,611,88
"568",0,0,1335,59,269,686,13
"569",1,1,6927,52,575,501,50
"570",1,1,5235,77,703,663,58
"571",1,0,5047,65,104,735,23
"572",0,0,3934,48,760,731,18
"573",1,1,1124,73,775,655,66
"574",0,1,7157,49,236,820,56
"575",0,1,6617,65,160,783,99
"576",1,0,2248,76,203,684,85
"577",0,1,7413,61,334,505,66
"578",1,0,1341,45,552,762,38
"579",0,1,7030,18,482,658,74
"580",0,0,2965,44,741,625,83
"581",0,1,5904,70,674,676,37
"582",1,1,3646,51,825,770,4
"583",0,0,6282,25,742,801,71
"584",1,1,6206,45,104,649,38
"585",0,0,5524,21,710,792,1
"586",1,0,4232,33,725,791,74
"587",1,1,6757,61,419,515,2
"588",1,0,1422,51,665,545,7
"589",0,1,6661,69,562,789,81
"590",1,1,1274,52,379,667,81
"591",0,0,2098,57,561,534,36
"592",0,0,3154,40,557,843,82
"593",1,1,2970,48,362,575,61
"594",1,1,6720,59,532,544,22
"595",0,0,2861,75,327,733,38
"596",1,1,2224,69,422,511,30
"597",0,0,7255,44,138,672,72
"598",1,0,1506,61,612,793,59
"599",0,1,1234,45,701,592,29
"600",1,1,6888,58,732,571,10
"601",1,0,3011,28,766,602,88
"602",1,0,4882,71,240,742,52
"603",1,1,8011,78,182,715,87
"604",1,0,1160,42,785,755,35
"605",0,0,7872,66,601,600,92
"606",1,1,3931,79,681,669,16
"607",0,0,3437,39,167,787,11
"608",0,1,1406,60,254,744,90
"609",0,1,4991,22,769,657,36
"610",1,1,5715,58,439,633,96
"611",0,0,1953,32,106,510,94
"612",1,0,7370,61,839,789,8
"613",0,0,7751,67,696,696,14
"614",1,0,5856,41,248,646,91
"615",0,1,4466,68,500,586,87
"616",1,1,5901,64,265,762,59
"617",1,1,8048,63,188,745,63
"618",1,1,5554,23,536,606,39
"619",1,0,4356,39,604,686,79
"620",1,1,2370,50,437,838,26
"621",0,0,3605,38,261,532,20
"622",0,1,5066,64,569,807,9
"623",1,0,4734,73,318,767,40
"624",1,0,7203,71,774,735,95
"625",1,0,7863,65,332,563,23
"626",0,0,8279,20,369,526,57
"627",1,0,2026,70,668,565,42
"628",1,1,1346,63,499,638,18
"629",1,1,6748,49,608,715,59
"630",0,0,3503,46,641,600,62
"631",0,1,3578,54,145,697,35
"632",1,0,3327,71,156,561,62
"633",0,1,1088,18,489,604,61
"634",0,0,4784,40,220,793,15
"635",0,1,1898,52,594,809,84
"636",0,1,3205,43,427,667,5
"637",1,1,4554,64,590,544,17
"638",1,1,4457,28,584,565,77
"639",1,0,3219,51,587,658,81
"640",1,1,6101,63,671,533,86
"641",1,0,5148,52,626,662,76
"642",0,1,8013,50,439,563,33
"643",1,0,2403,77,467,507,57
"644",0,1,1391,18,718,597,12
"645",1,1,3265,78,747,575,57
"646",1,1,1862,71,108,670,79
"647",0,1,4348,46,773,531,96
"648",1,0,6117,75,237,719,72
"649",1,1,2846,39,174,731,88
"650",0,1,5099,30,251,815,41
"651",0,0,4682,50,566,672,79
"652",0,0,5125,67,150,791,10
"653",0,1,3329,29,744,760,50
"654",1,0,8483,76,437,610,82
"655",1,1,6843,58,221,840,16
"656",0,1,8491,31,809,690,54
"657",0,1,3013,61,190,716,42
"658",1,1,3941,62,287,657,14
"659",0,0,1299,20,579,840,47
"660",1,1,2827,53,733,653,67
"661",1,0,4297,48,705,523,14
"662",1,1,6707,69,193,527,9
"663",0,1,2425,31,319,749,75
"664",1,1,4829,65,220,761,10
"665",0,0,4309,43,650,525,14
"666",0,0,6604,68,755,672,74
"667",1,1,3643,28,384,527,70
"668",1,0,6954,25,210,805,68
"669",0,0,3856,64,665,617,92
"670",0,1,4309,42,233,704,31
"671",1,1,8292,77,653,758,47
"672",1,0,6514,47,374,662,87
"673",0,0,5383,55,215,597,53
"674",1,1,3631,76,623,829,97
"675",0,1,3964,37,841,645,67
"676",0,1,3316,34,754,740,24
"677",0,1,7467,18,496,546,35
"678",0,1,3882,58,561,613,29
"679",0,0,4536,44,250,702,56
"680",0,0,2619,31,426,545,51
"681",0,1,1665,61,358,747,96
"682",0,0,4741,19,619,573,72
"683",0,1,4736,59,559,542,20
"684",0,1,1491,37,448,616,67
"685",0,0,3573,23,793,509,29
"686",0,0,3364,54,780,801,55
"687",0,1,6373,62,669,693,54
"688",0,0,5354,75,774,789,62
"689",1,0,2310,65,502,723,79
"690",1,1,5507,31,308,561,73
"691",1,0,2804,43,315,590,93
"692",1,1,2856,60,816,693,11
"693",1,0,2687,44,377,633,10
"694",0,0,2116,72,168,698,9
"695",0,1,5540,22,292,526,17
"696",0,0,4082,53,632,811,84
"697",0,0,5695,24,114,645,84
"698",0,1,3465,18,168,670,8
"699",0,1,2377,53,513,804,81
"700",0,1,4808,47,142,720,70
"701",1,1,6484,43,198,834,91
"702",1,1,7578,35,332,547,42
"703",1,1,3935,24,157,562,92
"704",0,1,1655,25,161,709,5
"705",0,0,3566,19,162,687,87
"706",0,0,1840,22,395,553,68
"707",1,0,3548,30,425,532,32
"708",0,0,7168,43,441,801,77
"709",0,1,4411,56,144,617,10
"710",1,0,3766,73,433,502,50
"711",1,0,1802,55,223,776,77
"712",0,0,2053,67,154,684,88
"713",0,0,4899,67,545,706,21
"714",1,1,4495,52,364,607,10
"715",1,1,3408,52,729,582,37
"716",1,1,3449,62,133,719,88
"717",0,0,2380,72,545,518,77
"718",1,1,7974,32,633,621,80
"719",0,1,8042,66,106,653,16
"720",0,1,4518,42,599,515,32
"721",1,0,4755,54,604,773,25
"722",1,1,7531,46,435,507,75
"723",1,1,5279,73,666,836,84
"724",0,1,4611,56,817,709,48
"725",0,1,2152,39,261,802,68
"726",1,0,7266,78,784,795,60
"727",0,1,6198,54,624,668,60
"728",0,0,2040,23,635,805,41
"729",1,0,3247,54,409,564,81
"730",0,1,7359,20,803,803,45
"731",0,0,5518,37,451,828,14
"732",0,0,5103,41,458,524,11
"733",1,0,4130,53,686,593,87
"734",0,1,4106,48,395,512,67
"735",0,0,7734,47,300,778,26
"736",0,1,4863,51,786,830,70
"737",1,1,3069,57,800,629,24
"738",1,0,5191,78,503,544,94
"739",0,0,2304,21,241,826,91
"740",1,1,6621,75,113,785,15
"741",1,1,1294,79,100,557,65
"742",0,0,2191,70,241,624,59
"743",1,1,8304,79,729,745,19
"744",0,0,2410,23,478,811,7
"745",0,0,6395,25,679,727,72
"746",0,0,2404,61,840,758,36
"747",1,1,7909,65,576,753,45
"748",1,0,6525,51,374,705,49
"749",1,0,4813,52,494,589,16
"750",1,1,4757,48,272,834,97
"751",1,0,1241,78,384,747,2
"752",0,1,4625,30,664,519,79
"753",1,1,1496,23,320,533,10
"754",0,1,3192,21,124,807,26
"755",0,1,2675,25,120,719,39
"756",0,0,6752,61,654,590,48
"757",0,1,4284,69,308,822,90
"758",1,0,7426,67,534,634,90
"759",0,0,1917,24,660,612,94
"760",0,0,5577,24,113,694,14
"761",1,0,7976,70,374,734,4
"762",0,1,4130,58,385,739,32
"763",1,1,6942,59,843,637,39
"764",0,1,7924,50,226,653,59
"765",1,0,5325,66,820,741,86
"766",1,0,3105,68,828,850,32
"767",1,1,6363,36,428,732,84
"768",1,0,2898,44,587,505,2
"769",0,0,7647,29,106,618,33
"770",1,1,8164,43,771,687,23
"771",1,1,7364,40,672,560,11
"772",1,1,6254,75,523,656,37
"773",0,0,8269,21,784,800,54
"774",1,1,6319,72,371,511,97
"775",0,0,5322,74,319,581,98
