,const,x1,x2,x3,x4,x5,x6,PD,Default,y
39,1.0,1,5285,57,185,836,30,0.5186237422201999,1,1
40,1.0,1,1232,73,606,777,46,0.7079505782230252,1,0
41,1.0,1,7963,49,696,744,54,0.5149710088873034,1,0
42,1.0,0,2617,69,601,774,76,0.5470822457739136,1,0
43,1.0,1,3532,34,560,704,28,0.4028167870675014,0,1
44,1.0,1,5096,51,364,598,79,0.6472988877379612,1,1
45,1.0,1,6562,55,625,641,5,0.6511620656933174,1,1
46,1.0,1,3795,55,529,745,13,0.5719007990068445,1,1
47,1.0,1,4012,65,498,808,78,0.61660556936762,1,1
48,1.0,0,4953,68,575,632,39,0.6472205795128362,1,0
49,1.0,0,3238,26,392,506,21,0.35016252317590485,0,1
50,1.0,1,3319,65,277,590,10,0.7643023528085162,1,1
51,1.0,0,6650,27,272,705,63,0.22800079428339193,0,0
52,1.0,1,2987,23,318,561,93,0.41077105281875276,0,0
53,1.0,1,4234,68,354,749,56,0.6859850740058362,1,0
54,1.0,0,7061,23,787,652,62,0.23068790214724097,0,1
55,1.0,0,8087,74,267,520,3,0.7685326054996877,1,1
56,1.0,1,1245,55,108,508,89,0.7411543508610077,1,0
57,1.0,1,3585,69,708,716,68,0.7163420220969673,1,0
58,1.0,1,3768,47,486,644,26,0.5754038634980048,1,1
59,1.0,0,2473,52,811,707,19,0.436459061942497,0,1
60,1.0,0,5782,36,556,806,90,0.23234151378908643,0,0
61,1.0,1,6503,57,264,516,57,0.7509873076189342,1,1
62,1.0,1,3562,53,463,622,42,0.6473993667760837,1,0
63,1.0,1,5258,36,456,717,97,0.4114636804078178,0,1
64,1.0,1,4977,47,366,662,73,0.5611997174183261,1,1
65,1.0,1,5393,24,296,767,94,0.2719789153267303,0,1
66,1.0,1,1687,68,723,741,76,0.6915016912126414,1,1
67,1.0,0,4987,72,664,524,75,0.7520424535731949,1,0
68,1.0,1,6824,66,756,702,4,0.7016066067890708,1,1
69,1.0,1,4944,52,558,572,21,0.6747269670558228,1,1
70,1.0,1,4671,27,324,743,60,0.3119666308845646,0,0
71,1.0,1,1038,67,735,684,18,0.7214533708099887,1,1
72,1.0,0,1921,58,522,528,34,0.6348720622424675,1,0
73,1.0,0,5253,32,251,676,91,0.28246956073188634,0,1
74,1.0,0,6980,58,815,568,92,0.6045610553083336,1,0
75,1.0,1,6612,78,730,517,14,0.8716813190544513,1,1
76,1.0,1,2074,49,782,813,43,0.4595752218494898,0,0
77,1.0,0,1321,37,402,516,47,0.44436572715601697,0,1
78,1.0,0,1085,30,186,551,62,0.35256248731141127,0,1
79,1.0,1,4055,65,310,697,93,0.6968247471344133,1,1
80,1.0,1,5635,48,735,696,65,0.5437588515124185,1,1
81,1.0,1,7376,77,274,566,1,0.8480600516148622,1,1
82,1.0,0,3301,32,609,568,88,0.35782033431228083,0,1
83,1.0,0,1940,67,772,581,95,0.6752608455031842,1,1
84,1.0,0,7822,72,836,807,65,0.5496357328158724,1,0
85,1.0,1,6932,38,144,571,84,0.5472008648317159,1,1
86,1.0,0,4028,60,226,672,78,0.5418040686064473,1,1
87,1.0,1,1109,40,140,671,90,0.48633729092356787,0,1
88,1.0,0,4570,63,437,672,92,0.5705438153567048,1,0
89,1.0,1,3111,48,490,697,13,0.542960715446546,1,1
90,1.0,0,6907,77,254,693,42,0.681356206007026,1,0
91,1.0,0,7531,65,712,663,41,0.5964422126685777,1,1
92,1.0,1,3407,21,725,543,86,0.4060016402595047,0,0
93,1.0,1,7309,58,345,505,79,0.7646041843690695,1,1
94,1.0,0,5868,66,285,504,58,0.7192904121095767,1,1
95,1.0,0,3088,43,763,644,97,0.40076487548707873,0,0
96,1.0,0,3634,61,214,670,97,0.5530154524755011,1,0
97,1.0,1,1889,24,778,702,93,0.31528674000059376,0,0
98,1.0,1,7267,25,356,529,62,0.4550711486514024,0,0
99,1.0,0,1023,30,640,795,51,0.19898058527947238,0,0
100,1.0,1,2285,58,691,608,62,0.6998883172798072,1,1
101,1.0,1,7021,24,205,647,94,0.35466470324881283,0,0
102,1.0,1,5494,49,783,695,76,0.5541670862056647,1,0
103,1.0,0,3760,51,539,775,32,0.37446608154475375,0,1
104,1.0,0,4983,41,630,636,6,0.3883657192396737,0,1
105,1.0,0,5460,77,148,845,10,0.5673549695560185,1,0
106,1.0,0,7085,30,828,649,33,0.284339995741159,0,1
107,1.0,1,3551,57,334,771,39,0.5704328220954515,1,0
108,1.0,0,6460,73,515,572,64,0.7298679695599658,1,1
109,1.0,0,1656,24,758,840,13,0.14549800895968865,0,0
110,1.0,0,4274,46,315,642,86,0.43060505564412244,0,1
111,1.0,0,6084,58,574,801,11,0.41945936095912995,0,1
112,1.0,0,2303,78,775,588,17,0.75705292392686,1,1
113,1.0,1,1026,74,223,692,46,0.7681144264644655,1,1
114,1.0,1,6131,31,209,816,87,0.29515459615034817,0,1
115,1.0,1,6688,79,397,607,70,0.8409377116119395,1,1
116,1.0,1,3811,62,487,733,44,0.645646634401519,1,1
117,1.0,0,8389,50,306,697,8,0.42530819425986305,0,0
118,1.0,1,3207,76,346,553,3,0.8484457818969279,1,1
119,1.0,1,1390,42,164,651,44,0.5218141607641701,1,0
120,1.0,1,1411,74,366,565,37,0.8328859382607533,1,1
121,1.0,1,7183,39,626,585,38,0.5456609108959596,1,0
122,1.0,0,3452,78,583,689,58,0.6924714814887984,1,1
123,1.0,0,2615,62,683,733,48,0.5122546622129591,1,0
124,1.0,1,1263,26,109,532,16,0.46231391650779174,0,0
125,1.0,0,8080,70,381,752,27,0.5740703317705964,1,1
126,1.0,0,7175,65,452,636,71,0.617160796088537,1,0
127,1.0,1,3727,57,743,586,70,0.706555531140205,1,0
128,1.0,1,1313,58,721,738,20,0.6055370305817896,1,1
129,1.0,0,3248,77,791,713,29,0.6672285387660746,1,1
130,1.0,0,6399,31,572,830,14,0.18748389645877048,0,0
131,1.0,0,6351,63,106,561,34,0.6550083823070318,1,0
132,1.0,1,3216,71,654,712,19,0.734367784766309,1,1
133,1.0,0,7434,23,241,652,75,0.23068790214724097,0,0
134,1.0,1,6836,73,124,503,10,0.8540638595618096,1,1
135,1.0,0,3637,54,430,672,27,0.4836763413738951,0,1
136,1.0,1,6253,52,300,542,74,0.6955392482497248,1,1
137,1.0,1,5946,60,689,719,23,0.6381515293096901,1,1
138,1.0,1,2558,28,776,676,15,0.3689791153422906,0,0
139,1.0,0,3255,68,223,593,19,0.6753091015140268,1,0
140,1.0,1,7668,49,290,532,62,0.6774002494161832,1,0
141,1.0,0,7496,74,241,526,68,0.765081470777978,1,1
142,1.0,0,7849,73,827,542,22,0.7484673697399153,1,1
143,1.0,1,6840,23,506,842,33,0.22016904343306162,0,0
144,1.0,0,4231,49,555,566,81,0.520376618933713,1,0
145,1.0,1,5229,33,404,818,78,0.31018150365147185,0,1
146,1.0,1,1799,24,376,843,89,0.22634294665485158,0,0
147,1.0,1,3350,66,653,711,63,0.6955105009112984,1,1
148,1.0,0,6159,59,156,805,64,0.42579237478949866,0,0
149,1.0,0,6844,41,678,535,62,0.46772077098844494,0,1
150,1.0,1,4779,43,179,585,96,0.5838109295315137,1,0
151,1.0,0,6178,60,208,667,67,0.5457941119812852,1,1
152,1.0,0,8046,47,763,677,67,0.41261929130154157,0,1
153,1.0,0,2882,57,513,505,16,0.6429841092357823,1,1
154,1.0,0,3014,31,481,752,27,0.22872274028425657,0,0
155,1.0,1,3817,24,348,521,75,0.4518277660976431,0,0
156,1.0,1,1762,19,834,713,58,0.26795827584372345,0,0
157,1.0,1,7120,44,242,750,39,0.46169943483986264,0,1
158,1.0,1,2389,66,277,562,35,0.7867261386810899,1,1
159,1.0,1,2847,54,124,600,6,0.6719937513603855,1,1
160,1.0,0,5502,44,440,503,12,0.5225101478839717,1,0
161,1.0,0,1651,43,158,752,4,0.32088959326608085,0,1
162,1.0,0,7909,34,706,768,60,0.2403900136897109,0,1
163,1.0,1,4098,53,431,511,30,0.7240588317089274,1,0
164,1.0,0,4681,56,778,765,96,0.42877950667041415,0,1
165,1.0,0,7873,58,697,760,20,0.45187271531707257,0,1
166,1.0,1,5947,51,182,518,58,0.7036054004002841,1,1
167,1.0,0,8169,59,591,733,79,0.483147828030415,0,1
168,1.0,0,6563,69,477,530,36,0.7258707217966857,1,1
169,1.0,1,1339,55,407,810,71,0.5201198245888701,1,0
170,1.0,0,4935,60,531,571,77,0.6206946869410473,1,1
171,1.0,0,2162,27,117,751,1,0.2030071913166257,0,0
172,1.0,1,7126,72,412,640,48,0.7836937585235954,1,0
173,1.0,0,3514,26,357,642,58,0.25811271470874475,0,0
174,1.0,0,1369,74,792,719,71,0.6364325394760585,1,1
175,1.0,1,6807,42,847,623,29,0.5442292593025305,1,1
176,1.0,1,4088,30,825,620,90,0.4307431131752539,0,1
177,1.0,1,3352,29,846,639,83,0.40642629573845346,0,1
178,1.0,1,4098,19,465,599,72,0.3456312991317088,0,1
179,1.0,0,3138,76,745,595,58,0.7381606989313649,1,1
180,1.0,1,6243,59,249,662,43,0.6708171587559435,1,0
181,1.0,0,5131,70,586,570,10,0.7076346243245453,1,0
182,1.0,0,2945,59,764,679,7,0.526542400422702,1,0
183,1.0,0,3794,71,639,815,45,0.5336102963146524,1,1
184,1.0,0,7486,63,828,646,87,0.5909044001426303,1,1
185,1.0,0,2115,69,224,731,96,0.581079942640806,1,1
186,1.0,1,2558,74,676,642,92,0.7955209192729888,1,0
187,1.0,0,6328,58,214,773,9,0.4415374899052016,0,0
188,1.0,1,6344,55,739,803,5,0.5257372147590861,1,1
189,1.0,0,4883,61,463,549,16,0.6461336206026097,1,0
190,1.0,0,6336,32,673,583,65,0.34681063871856205,0,0
191,1.0,1,1155,61,615,730,57,0.6389447591234829,1,1
192,1.0,0,5135,18,451,723,42,0.1642522131463049,0,0
193,1.0,1,3176,40,468,643,61,0.5088501145523517,1,1
194,1.0,1,3805,72,542,669,72,0.767462444592217,1,1
195,1.0,1,5451,33,201,508,74,0.5493184125682601,1,1
196,1.0,0,5035,68,202,678,86,0.6127471017142875,1,1
197,1.0,1,2138,29,304,517,91,0.5034206879654453,1,1
198,1.0,0,8000,71,734,584,56,0.7063474906786851,1,0
199,1.0,0,2015,58,138,832,100,0.39538976941725285,0,1
200,1.0,1,6318,53,733,508,92,0.7259827454869011,1,0
201,1.0,1,5773,62,623,628,17,0.7186378624563335,1,1
202,1.0,0,6121,41,465,847,53,0.24362294269047044,0,1
203,1.0,1,6167,62,432,801,65,0.5941672449833593,1,0
204,1.0,1,5151,61,658,564,1,0.7511518887519509,1,0
205,1.0,1,6556,66,674,554,58,0.7910121180881221,1,1
206,1.0,0,8426,40,778,589,83,0.4153671118976462,0,0
207,1.0,0,5516,28,107,780,82,0.19433748325094274,0,0
208,1.0,1,3136,52,534,526,43,0.7063273378585425,1,1
209,1.0,0,2805,60,224,704,15,0.5161623684794421,1,1
210,1.0,0,7152,23,166,545,4,0.29728914487281244,0,0
211,1.0,0,1864,37,330,629,49,0.35733416785226285,0,0
212,1.0,0,2719,63,468,667,92,0.5744801446910416,1,0
213,1.0,1,3981,31,542,709,78,0.37138295254172193,0,0
214,1.0,0,3008,38,242,709,76,0.3088563389930033,0,0
215,1.0,0,4205,38,430,724,10,0.29865256277868796,0,0
216,1.0,0,3865,29,155,739,84,0.22246452406980863,0,1
217,1.0,1,3637,42,625,569,1,0.5868805180410837,1,1
218,1.0,1,1566,34,400,700,11,0.4059158324150883,0,0
219,1.0,0,5210,72,592,806,87,0.5504318638568637,1,1
220,1.0,1,2355,47,608,757,57,0.4851150440529896,0,0
221,1.0,1,7418,55,605,638,40,0.6533509006067906,1,1
222,1.0,1,6772,71,746,580,96,0.8086878155957037,1,1
223,1.0,1,7078,75,167,628,30,0.8088239686672748,1,1
224,1.0,1,3977,55,161,678,45,0.6236645855565145,1,1
225,1.0,0,1861,26,457,530,59,0.3328047933322415,0,0
226,1.0,1,2465,36,480,596,82,0.5078261452621502,1,0
227,1.0,0,6338,53,352,556,57,0.5668480278864795,1,0
228,1.0,0,1903,65,373,820,15,0.4714399113522341,0,0
229,1.0,1,5589,69,305,741,12,0.6997211036230554,1,1
230,1.0,0,5266,56,840,527,66,0.617452811412672,1,1
231,1.0,0,5513,43,551,751,82,0.32159098608993514,0,1
232,1.0,0,3464,55,767,793,89,0.39754089660579717,0,0
233,1.0,0,6172,39,330,514,80,0.46520953677282806,0,0
234,1.0,0,4807,52,610,553,62,0.5596722247177818,1,0
235,1.0,1,6748,30,745,777,65,0.31349127076764555,0,0
236,1.0,1,2733,68,455,639,50,0.756807622040929,1,1
237,1.0,1,4380,29,259,761,1,0.31621945976225563,0,0
238,1.0,1,5492,65,337,587,43,0.7660363461706241,1,0
239,1.0,1,1817,44,169,739,29,0.4705045663071222,0,1
240,1.0,1,1185,39,294,692,54,0.4598275793707177,0,1
241,1.0,1,8034,43,805,816,11,0.4002008201050969,0,1
242,1.0,0,8158,63,694,709,7,0.5411693378333005,1,1
243,1.0,1,1391,43,198,766,5,0.4393521730242664,0,0
244,1.0,0,5955,27,740,520,82,0.34874999129990303,0,1
245,1.0,1,5617,74,642,599,100,0.8171043599997642,1,1
246,1.0,0,1153,69,182,769,88,0.5510644107778198,1,1
247,1.0,1,4417,54,204,789,81,0.5272861965122851,1,1
248,1.0,0,7161,64,499,548,68,0.6729958665835655,1,1
249,1.0,1,7424,65,495,828,5,0.6012870073744782,1,0
250,1.0,0,4972,27,303,503,74,0.36127056254384843,0,0
251,1.0,1,4109,68,830,551,24,0.8050763265012777,1,1
252,1.0,0,1809,61,239,590,19,0.6154312767271406,1,1
253,1.0,0,7204,34,479,632,74,0.32892163120831763,0,0
254,1.0,0,5037,66,504,652,90,0.6141682830411836,1,0
255,1.0,0,1048,49,725,741,97,0.38192699364605137,0,0
256,1.0,1,6982,18,311,596,29,0.3390637942665231,0,0
257,1.0,0,5912,79,667,682,21,0.7053772992432398,1,0
258,1.0,0,3688,22,533,706,17,0.19513928673665004,0,0
259,1.0,1,5238,56,514,650,35,0.6534007412751922,1,0
260,1.0,1,7223,50,574,684,84,0.5724188745951649,1,0
261,1.0,0,5703,18,229,819,78,0.12611766964931734,0,0
262,1.0,0,5849,49,554,815,86,0.32752169499098305,0,0
263,1.0,0,5515,74,137,765,37,0.6015538538431681,1,1
264,1.0,0,5901,32,116,621,94,0.31966231219168356,0,1
265,1.0,1,4818,76,771,843,33,0.6877474519476924,1,1
266,1.0,0,1397,50,804,673,33,0.44427787559794335,0,1
267,1.0,0,1124,70,131,551,84,0.7201169043269082,1,1
268,1.0,1,4488,35,152,728,6,0.3936195220152965,0,0
269,1.0,1,5448,59,538,752,79,0.6040519165413163,1,1
270,1.0,1,5074,60,102,713,24,0.6425962788152803,1,0
271,1.0,1,1795,64,390,658,16,0.7148086862630036,1,1
272,1.0,0,1249,41,576,590,62,0.4240383428206698,0,1
273,1.0,1,3782,41,724,743,94,0.43845160511939274,0,0
274,1.0,0,2759,64,382,838,35,0.44742333349319763,0,0
275,1.0,0,8382,32,412,757,39,0.23275850172866078,0,0
276,1.0,1,1370,43,111,704,20,0.48891331105815117,0,1
277,1.0,1,7608,26,602,540,16,0.455923543461645,0,1
278,1.0,1,6764,39,448,790,73,0.3831316665999354,0,1
279,1.0,1,2569,34,469,699,16,0.4066917765138141,0,0
280,1.0,1,5892,59,287,625,52,0.6965457219964006,1,1
281,1.0,1,4252,69,365,639,22,0.7638811942210068,1,1
282,1.0,0,7694,26,772,604,24,0.2822020135433572,0,0
283,1.0,1,7717,55,470,716,48,0.5945713775288468,1,0
284,1.0,1,1836,70,801,844,77,0.6349396456571273,1,1
285,1.0,1,1671,26,517,818,57,0.2552096913208276,0,0
286,1.0,1,7933,63,842,807,30,0.5988654834608514,1,0
287,1.0,1,6222,73,767,547,76,0.835524831964798,1,1
288,1.0,1,7729,26,204,658,72,0.36439485787094017,0,0
289,1.0,1,1020,28,125,512,70,0.49773645162916186,0,1
290,1.0,0,7799,69,158,825,26,0.5062084498319515,1,1
291,1.0,0,3587,30,189,795,62,0.19898058527947238,0,0
292,1.0,1,2241,76,263,654,7,0.801798388659564,1,1
293,1.0,1,5206,26,735,583,19,0.42187420873153986,0,0
294,1.0,0,5958,47,377,823,43,0.3051714789505714,0,1
295,1.0,1,5981,61,560,534,40,0.7687501411235639,1,0
296,1.0,1,7224,21,386,698,64,0.2933615385818723,0,0
297,1.0,0,3274,34,697,626,87,0.3331958342176635,0,0
298,1.0,1,4000,79,710,558,67,0.8609067672747726,1,1
299,1.0,1,6595,69,744,688,33,0.7342819168157986,1,0
300,1.0,0,1231,35,108,824,82,0.21553836158692105,0,0
301,1.0,0,4605,38,592,806,70,0.2464762634628631,0,0
302,1.0,0,4717,45,254,530,55,0.5105160820968152,1,1
303,1.0,0,3928,26,834,849,48,0.15165679286407546,0,0
304,1.0,0,2139,20,406,757,97,0.15994317239213618,0,0
305,1.0,0,6085,63,635,565,70,0.6520950378904876,1,1
306,1.0,1,2114,30,218,531,89,0.5018673824263004,1,1
307,1.0,1,4730,29,525,538,74,0.48653613439084203,0,0
308,1.0,1,3213,25,128,554,75,0.43521134045172033,0,0
309,1.0,1,5644,36,138,679,76,0.4413507445480098,0,1
310,1.0,0,8315,72,774,550,65,0.7361202729666997,1,0
311,1.0,0,7812,41,833,755,56,0.30217150615115296,0,1
312,1.0,0,7174,66,145,655,90,0.6118790114395426,1,1
313,1.0,0,4686,42,314,796,26,0.2829158143084771,0,1
314,1.0,0,7253,58,639,748,29,0.46145011716364814,0,0
315,1.0,0,2285,65,479,704,39,0.5643355051148086,1,0
316,1.0,0,8399,66,401,812,10,0.4875500595219538,0,0
317,1.0,0,4866,39,588,738,72,0.29735273906619314,0,1
318,1.0,0,7540,47,134,737,10,0.36675764241058284,0,0
319,1.0,1,7096,49,203,583,66,0.640560199099857,1,0
320,1.0,0,2121,61,161,530,6,0.6599799617734009,1,0
321,1.0,1,8065,19,407,810,20,0.21131291560031648,0,0
322,1.0,1,7369,47,337,645,22,0.5746177791063547,1,1
323,1.0,0,3606,23,812,733,1,0.18770582134697394,0,0
324,1.0,0,5648,72,682,839,32,0.5240473014012993,1,0
325,1.0,1,1825,23,311,713,3,0.29949104461564924,0,0
326,1.0,1,1140,40,634,648,41,0.504829969059858,1,1
327,1.0,1,7078,34,780,691,42,0.4129157993835812,0,0
328,1.0,1,6402,20,190,649,27,0.31857804406987644,0,1
329,1.0,0,6750,60,720,810,80,0.4313606265615627,0,1
330,1.0,0,5771,63,422,717,83,0.5347730595674985,1,1
331,1.0,1,3687,69,715,818,82,0.645263038405962,1,0
332,1.0,1,8031,73,341,578,14,0.8213589378254945,1,1
333,1.0,1,2677,73,372,555,73,0.8319577997434622,1,1
334,1.0,0,6839,19,572,658,88,0.20116723783073323,0,0
335,1.0,1,7152,64,847,759,79,0.6442742441218823,1,0
336,1.0,1,3287,35,708,791,2,0.3464281062173008,0,0
337,1.0,0,1063,30,378,839,35,0.17737792014878268,0,0
338,1.0,1,6847,34,678,546,34,0.5285942972487578,1,1
339,1.0,0,2466,69,804,609,54,0.6725299386329713,1,0
340,1.0,1,1748,20,629,731,13,0.2642321499686155,0,0
341,1.0,1,1934,44,511,731,80,0.4769201653858545,0,1
342,1.0,1,5883,20,458,547,20,0.3935993957971839,0,1
343,1.0,1,7438,37,307,544,11,0.5590724007719083,1,0
344,1.0,1,3702,75,147,772,15,0.7269448296895663,1,1
345,1.0,0,8088,22,777,669,34,0.21451251913376226,0,0
346,1.0,0,2985,32,373,680,90,0.2798689969347831,0,0
347,1.0,1,7266,74,766,761,50,0.7262621054067807,1,1
348,1.0,1,7867,48,356,833,70,0.4340837924558861,0,0
349,1.0,0,6692,72,809,686,9,0.6430034657334992,1,0
350,1.0,0,3013,39,630,749,8,0.29001318979507834,0,1
351,1.0,1,6325,75,269,775,89,0.725025112328107,1,0
352,1.0,0,5887,23,667,564,55,0.2846812187392917,0,0
353,1.0,1,4393,71,435,799,80,0.6763485229841664,1,1
354,1.0,0,8107,69,839,825,43,0.5062084498319515,1,1
355,1.0,1,2290,22,375,543,37,0.41539696015256294,0,0
356,1.0,0,5811,47,551,609,53,0.4664480493235168,0,1
357,1.0,1,3982,59,687,616,86,0.7026299634704145,1,1
358,1.0,0,7282,48,585,678,13,0.4212744936377643,0,1
359,1.0,0,2838,32,412,602,71,0.33309805244232205,0,0
360,1.0,0,8345,43,274,553,20,0.47263831503575243,0,1
361,1.0,1,1121,41,100,665,19,0.5008642164185032,1,1
362,1.0,0,1984,61,632,806,20,0.4440813658460168,0,1
363,1.0,1,1101,52,403,537,25,0.6989344477883509,1,0
364,1.0,1,4862,76,314,681,73,0.7876337090137207,1,1
365,1.0,0,1964,77,717,704,69,0.6736251637123527,1,1
366,1.0,1,7815,61,252,511,52,0.7816405050056261,1,0
367,1.0,1,7685,80,450,650,95,0.8271730300570028,1,1
368,1.0,0,6415,19,438,589,78,0.23920186184003941,0,0
369,1.0,0,7515,36,831,836,76,0.21557557379324382,0,0
370,1.0,0,1819,69,277,694,4,0.6097419044623092,1,1
371,1.0,0,3169,26,714,787,39,0.17913372261543,0,0
372,1.0,1,4176,60,220,679,38,0.6673046886994236,1,0
373,1.0,1,4572,21,291,515,90,0.4278935176633696,0,1
374,1.0,0,7226,55,368,705,50,0.4668862342849401,0,0
375,1.0,1,6715,70,199,563,72,0.8111300926646217,1,1
376,1.0,1,7650,65,763,792,9,0.6286974744585904,1,1
377,1.0,0,3376,47,709,817,6,0.30927929345442773,0,1
378,1.0,0,6083,45,277,786,67,0.3140152566358056,0,0
379,1.0,0,5549,79,263,703,97,0.6911467283707525,1,1
380,1.0,1,8269,77,801,547,51,0.8557689706763089,1,1
381,1.0,1,7278,64,370,638,97,0.7277406080854849,1,0
382,1.0,0,1791,18,532,590,57,0.2316357351191456,0,0
383,1.0,0,4136,65,687,516,60,0.7033961464115758,1,1
384,1.0,0,5523,24,814,598,45,0.27053569575076225,0,0
385,1.0,1,5515,71,421,584,61,0.8066892367581046,1,1
386,1.0,1,2937,36,406,548,8,0.5462946374427379,1,0
387,1.0,0,3028,36,525,614,69,0.359502666688999,0,0
388,1.0,0,1243,72,531,831,87,0.5304615683415796,1,1
389,1.0,1,4714,72,475,783,93,0.6957900622056785,1,1
390,1.0,0,1899,23,156,684,15,0.21292784833234796,0,0
391,1.0,0,1681,21,652,669,39,0.20804382217879352,0,0
392,1.0,1,3553,41,117,644,3,0.5177446245264595,1,0
393,1.0,1,1663,21,276,815,32,0.22175443714082937,0,0
394,1.0,0,5317,51,135,634,63,0.48511824984876073,0,1
395,1.0,0,7553,66,782,674,94,0.5972691732479999,1,1
396,1.0,0,7542,51,248,633,21,0.4859217591540674,0,0
397,1.0,0,4025,42,195,686,58,0.35980676439997555,0,0
398,1.0,0,2001,47,808,598,15,0.47526378583770934,0,0
399,1.0,1,3876,18,780,717,49,0.257941728241567,0,0
400,1.0,0,2138,72,789,774,32,0.5757501615639827,1,0
401,1.0,0,4119,29,497,720,40,0.23321536274339635,0,0
402,1.0,0,5195,61,175,723,71,0.5105921464918535,1,0
403,1.0,1,1075,65,734,769,63,0.6457976677598716,1,1
404,1.0,0,3893,48,254,814,15,0.31972851474768754,0,1
405,1.0,1,1881,53,573,667,95,0.613695791941065,1,1
406,1.0,1,7462,41,720,522,44,0.6138323108919782,1,1
407,1.0,0,5708,53,663,785,38,0.3851773713878597,0,0
408,1.0,0,7339,62,424,513,31,0.6806390847991559,1,0
409,1.0,0,1633,49,317,580,61,0.5091283214298782,1,1
410,1.0,0,7082,20,515,837,11,0.12830942117777466,0,0
411,1.0,0,7631,62,296,522,32,0.6743134633008828,1,0
412,1.0,1,6245,38,847,503,80,0.6006334927257615,1,1
413,1.0,0,7138,68,147,758,58,0.550214022527459,1,0
414,1.0,1,1894,76,823,755,23,0.7451066480721318,1,1
415,1.0,1,4327,19,660,535,66,0.3935468708259535,0,0
416,1.0,1,4958,18,594,556,41,0.3684668652053597,0,0
417,1.0,0,8486,20,679,598,1,0.24100271879059793,0,1
418,1.0,0,4940,72,665,529,51,0.7490311136399761,1,1
419,1.0,0,2973,32,163,575,98,0.352662961400711,0,0
420,1.0,1,7154,22,198,579,43,0.3875788362675585,0,0
421,1.0,1,6724,32,609,520,58,0.5300874691234283,1,0
422,1.0,1,1878,48,760,698,34,0.5421623587563119,1,0
423,1.0,0,4800,57,687,736,97,0.46139542703362835,0,1
424,1.0,0,6043,52,210,712,43,0.432507203219051,0,1
425,1.0,0,6442,54,220,511,28,0.611251670026122,1,0
426,1.0,0,4372,23,116,554,59,0.29127682333342625,0,0
427,1.0,1,4308,53,513,573,17,0.6824919041924447,1,1
428,1.0,0,7198,23,470,600,70,0.2616981997334676,0,0
429,1.0,0,4801,30,524,726,58,0.23672429442228357,0,0
430,1.0,0,8091,53,634,539,45,0.5802225642676038,1,0
431,1.0,0,5221,26,588,512,60,0.34578353801393036,0,0
432,1.0,0,2947,56,325,654,14,0.517549087145102,1,0
433,1.0,1,7186,55,316,560,21,0.7077966170398036,1,1
434,1.0,0,8247,67,150,533,35,0.708163257224184,1,1
435,1.0,1,2895,49,684,523,51,0.6836940406510391,1,1
